url,normalized_url,path,query,type,source_page,anchor_text,status_code,final_url,is_parameter_url,suspected_duplicate_group,content_type,error
https://biocom.kr/hormon,https://biocom.kr/hormon,/hormon,,category,sitemap | https://biocom.kr/,,200,https://biocom.kr/hormon_store/?idx=219,false,https://biocom.kr/hormon,text/html; charset=utf-8,
https://biocom.kr/supplements,https://biocom.kr/supplements,/supplements,,category,sitemap | https://biocom.kr/ | https://biocom.kr/service,,200,https://biocom.kr/supplements,false,https://biocom.kr/supplements,text/html; charset=utf-8,
https://biocom.kr/supplementsmall,https://biocom.kr/supplementsmall,/supplementsmall,,category,sitemap | https://biocom.kr/,,200,https://biocom.kr/supplements,false,https://biocom.kr/supplementsmall,text/html; charset=utf-8,
https://biocom.kr/DaraeSub,https://biocom.kr/DaraeSub,/DaraeSub,,category,sitemap,,200,https://biocom.kr/supplements/?idx=226,false,https://biocom.kr/DaraeSub,text/html; charset=utf-8,
https://biocom.kr/843,https://biocom.kr/843,/843,,category,sitemap,,200,https://biocom.kr/shop_view/?idx=229,false,https://biocom.kr/843,text/html; charset=utf-8,
https://biocom.kr/what_biohacking,https://biocom.kr/what_biohacking,/what_biohacking,,category,sitemap | https://biocom.kr/ | https://biocom.kr/service,,200,https://biocom.kr/what_biohacking,false,https://biocom.kr/what_biohacking,text/html; charset=utf-8,
https://biocom.kr/challenge,https://biocom.kr/challenge,/challenge,,category,sitemap | https://biocom.kr/ | https://biocom.kr/service,,200,https://biocom.kr/challenge,false,https://biocom.kr/challenge,text/html; charset=utf-8,
https://biocom.kr/886,https://biocom.kr/886,/886,,category,sitemap,,200,https://biocom.kr/886,false,https://biocom.kr/886,text/html; charset=utf-8,
https://biocom.kr/920,https://biocom.kr/920,/920,,category,sitemap,,200,https://biocom.kr/920,false,https://biocom.kr/920,text/html; charset=utf-8,
https://biocom.kr/organicacid,https://biocom.kr/organicacid,/organicacid,,category,sitemap | https://biocom.kr/,,200,https://biocom.kr/organicacid_store/?idx=259,false,https://biocom.kr/organicacid,text/html; charset=utf-8,
https://biocom.kr/organicacid_store,https://biocom.kr/organicacid_store,/organicacid_store,,lab/test service,sitemap | https://biocom.kr/,,200,https://biocom.kr/organicacid_store/?idx=259,false,https://biocom.kr/organicacid_store,text/html; charset=utf-8,
https://biocom.kr/lab,https://biocom.kr/lab,/lab,,category,sitemap | https://biocom.kr/ | https://biocom.kr/service,,200,https://biocom.kr/lab,false,https://biocom.kr/lab,text/html; charset=utf-8,
https://biocom.kr/all_supplements,https://biocom.kr/all_supplements,/all_supplements,,category,sitemap,,200,https://biocom.kr/all_supplements,false,https://biocom.kr/all_supplements,text/html; charset=utf-8,
https://biocom.kr/HealthFood,https://biocom.kr/HealthFood,/HealthFood,,category,sitemap,,200,https://biocom.kr/HealthFood,false,https://biocom.kr/HealthFood,text/html; charset=utf-8,
https://biocom.kr/DavinciLab,https://biocom.kr/DavinciLab,/DavinciLab,,category,sitemap,,200,https://biocom.kr/DavinciLab,false,https://biocom.kr/DavinciLab,text/html; charset=utf-8,
https://biocom.kr/DietMealBox,https://biocom.kr/DietMealBox,/DietMealBox,,category,sitemap,,200,https://biocom.kr/DietMealBox,false,https://biocom.kr/DietMealBox,text/html; charset=utf-8,
https://biocom.kr/1020,https://biocom.kr/1020,/1020,,category,sitemap,,200,https://biocom.kr/1020,false,https://biocom.kr/1020,text/html; charset=utf-8,
https://biocom.kr/1021,https://biocom.kr/1021,/1021,,category,sitemap,,200,https://biocom.kr/1021,false,https://biocom.kr/1021,text/html; charset=utf-8,
https://biocom.kr/1022,https://biocom.kr/1022,/1022,,category,sitemap,,200,https://biocom.kr/1022,false,https://biocom.kr/1022,text/html; charset=utf-8,
https://biocom.kr/1023,https://biocom.kr/1023,/1023,,category,sitemap,,200,https://biocom.kr/1023,false,https://biocom.kr/1023,text/html; charset=utf-8,
https://biocom.kr/1024,https://biocom.kr/1024,/1024,,category,sitemap,,200,https://biocom.kr/1024,false,https://biocom.kr/1024,text/html; charset=utf-8,
https://biocom.kr/1025,https://biocom.kr/1025,/1025,,category,sitemap,,200,https://biocom.kr/1025,false,https://biocom.kr/1025,text/html; charset=utf-8,
https://biocom.kr/biocomset,https://biocom.kr/biocomset,/biocomset,,category,sitemap,,200,https://biocom.kr/biocomset_store/?idx=328,false,https://biocom.kr/biocomset,text/html; charset=utf-8,
https://biocom.kr/biocomset_store,https://biocom.kr/biocomset_store,/biocomset_store,,category,sitemap,,200,https://biocom.kr/biocomset_store/?idx=328,false,https://biocom.kr/biocomset_store,text/html; charset=utf-8,
https://biocom.kr/petmineraltest,https://biocom.kr/petmineraltest,/petmineraltest,,category,sitemap,,200,https://biocom.kr/shop_view/?idx=369,false,https://biocom.kr/petmineraltest,text/html; charset=utf-8,
https://biocom.kr/1300,https://biocom.kr/1300,/1300,,category,sitemap,,200,https://biocom.kr/1300,false,https://biocom.kr/1300,text/html; charset=utf-8,
https://biocom.kr/1304,https://biocom.kr/1304,/1304,,category,sitemap,,200,https://biocom.kr/1304,false,https://biocom.kr/1304,text/html; charset=utf-8,
https://biocom.kr/jhg,https://biocom.kr/jhg,/jhg,,category,sitemap,,200,https://biocom.kr/shop_view?idx=251,false,https://biocom.kr/jhg,text/html; charset=utf-8,
https://biocom.kr/all,https://biocom.kr/all,/all,,category,sitemap,,200,https://biocom.kr/all,false,https://biocom.kr/all,text/html; charset=utf-8,
