primary_alias_key,row_count,first_date_iso,last_date_iso,channel_bucket_top,product_family_top,suggested_grade_top,landing_paths,ledger_path_candidates,example_management_memo,example_generated_url,existing_mapping_status,existing_selected_campaign_id,existing_selected_campaign_name,existing_confidence,existing_review_reason,next_join_key_recommendation
meta_biocom_seoliggresetday,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_설연휴음과검이벤트_리셋데이포함,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_seoliggresetday&utm_medium=meta_biocom_seoliggresetday&utm_campaign=meta_biocom_seoliggresetday&utm_content=meta_biocom_seoliggresetday,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_seoulendreel1_igg,1,2025-03-31,2025-03-31,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_이서울님공구종료(릴스1)_지연성알러지,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_seoulendreel1_igg&utm_medium=meta_biocom_seoulendreel1_igg&utm_campaign=meta_biocom_seoulendreel1_igg&utm_content=meta_biocom_seoulendreel1_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_seoulendreels2_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_이서울님공구종료(릴스2)_지연성알러지,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_seoulendreels2_igg&utm_medium=meta_biocom_seoulendreels2_igg&utm_campaign=meta_biocom_seoulendreels2_igg&utm_content=meta_biocom_seoulendreels2_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_servicecatalog_service,1,2026-03-17,2026-03-17,meta_paid_or_meta_candidate,service_or_kit,B_alias_candidate_needs_meta_api_join,/service,/service,메타광고_바이오컴_검사권카탈로그_검사권,https://biocom.kr/service?utm_source=meta_biocom_servicecatalog_service&utm_medium=meta_biocom_servicecatalog_service&utm_campaign=meta_biocom_servicecatalog_service&utm_content=meta_biocom_servicecatalog_service,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_shakestory_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_단쉐스토리_음과검,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_shakestory_igg&utm_medium=meta_biocom_shakestory_igg&utm_campaign=meta_biocom_shakestory_igg&utm_content=meta_biocom_shakestory_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_sikdanstory_igg,1,,,meta_paid_or_meta_candidate,igg,B_existing_manual_verified,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_음과검_식단스토리,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_sikdanstory_igg&utm_medium=meta_biocom_sikdanstory_igg&utm_campaign=meta_biocom_sikdanstory_igg&utm_content=meta_biocom_sikdanstory_igg,manual_verified,120235591897270396,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),auto_url_match,2026-04-16 Phase1 자동 분류: audit 데이터에서 해당 utm_campaign이 정확히 1개 캠페인의 광고 랜딩 URL에만 존재함 (auto_url_match),alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_skin_youngdays,1,,,meta_paid_or_meta_candidate,supplements,B_alias_candidate_needs_meta_api_join,/shop_view,/shop_view;/shopview,메타광고_바이오컴_피부소구_영데이즈,https://biocom.kr/shop_view/?idx=300&utm_source=meta_biocom_skin_youngdays&utm_medium=meta_biocom_skin_youngdays&utm_campaign=meta_biocom_skin_youngdays&utm_content=meta_biocom_skin_youngdays,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_skincare_igg,1,,,meta_paid_or_meta_candidate,igg,B_existing_manual_verified,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_셀렉트스토어피부소구수현님_음과검,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_skincare_igg&utm_medium=meta_biocom_skincare_igg&utm_campaign=meta_biocom_skincare_igg&utm_content=meta_biocom_skincare_igg,manual_verified,120235591897270396,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),auto_spend_heuristic,"2026-04-16 Phase2 자동 분류: 2개 캠페인에 동일 utm_campaign 존재하나, 상대 캠페인 spend=₩0, active=0. spend+active 기준으로 확정 (auto_spend_heuristic)",alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_skinmagagine_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_매거진피부_음과검,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_skinmagagine_igg&utm_medium=meta_biocom_skinmagagine_igg&utm_campaign=meta_biocom_skinmagagine_igg&utm_content=meta_biocom_skinmagagine_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_skinreview1_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_피부소구후기_음과검,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_skinreview1_igg&utm_medium=meta_biocom_skinreview1_igg&utm_campaign=meta_biocom_skinreview1_igg&utm_content=meta_biocom_skinreview1_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
