 ,브랜드명,관리메모,랜딩페이지 URL*,"소스*
utm_source","매체*
utm_medium","캠페인*
utm_campaign","콘텐츠
utm_content","키워드 {query}
utm_term",랜딩페이지 URL + UTM 파라미터,단축 URL
20231215,바이오컴,[바이오컴]레뷰 뉴로마스터 체험단_혈행개선제,https://biocom.kr/supplements/?idx=198 ,revu_neuro,blog_neuro,post_neuro,neuromaster_exp,,https://biocom.kr/supplements/?idx=198 &utm_source=revu_neuro&utm_medium=blog_neuro&utm_campaign=post_neuro&utm_content=neuromaster_exp,
20231215,더클린커피,연말이벤트 드립백 선물세트 20% crm,https://thecleancoffee.com/thecleancoffee_store/?idx=24,kakao_adieu,message_adieu,crm_adieu,dripbag_set_adieu,,https://thecleancoffee.com/thecleancoffee_store/?idx=24&utm_source=kakao_adieu&utm_medium=message_adieu&utm_campaign=crm_adieu&utm_content=dripbag_set_adieu,
20231215,더클린커피,,https://thecleancoffee.com/thecleancoffee_store,kakao_adieu,message_adieu,crm_adieu,best_3_adieu,,https://thecleancoffee.com/thecleancoffee_store?utm_source=kakao_adieu&utm_medium=message_adieu&utm_campaign=crm_adieu&utm_content=best_3_adieu,
20231218,바이오컴,[바이오컴]레뷰 뉴로마스터 체험단_브레인포그,https://biocom.kr/supplements/?idx=198 ,revu_brainfog,blog_brainfog,post_brainfog,brainfog,,https://biocom.kr/supplements/?idx=198 &utm_source=revu_brainfog&utm_medium=blog_brainfog&utm_campaign=post_brainfog&utm_content=brainfog,
20231218,바이오컴,[바이오컴] 연말이벤트 crm,https://biocom.kr/supplementsmall,kakao_adieu,message_adieu,crm_adieu,gift_set_adieu,,https://biocom.kr/supplementsmall?utm_source=kakao_adieu&utm_medium=message_adieu&utm_campaign=crm_adieu&utm_content=gift_set_adieu,
20231218,바이오컴,[바이오컴] 연말감사제 카테고리배너 pc,https://biocom.kr/supplementsmall,home,main,banner,gift set_pc,,https://biocom.kr/supplementsmall?utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=gift%20set_pc,
20231218,바이오컴,[바이오컴] 연말감사제 카테고리배너 mo,https://biocom.kr/supplementsmall,home,main,banner,gift set_mo,,https://biocom.kr/supplementsmall?utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=gift%20set_mo,
20231218,바이오컴,[바이오컴] 연말감사제 상페배너 pc,https://biocom.kr/supplementsmall,home,detail,banner,gift detail_pc,,https://biocom.kr/supplementsmall?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=gift%20detail_pc,
20231218,바이오컴,[바이오컴] 연말감사제 상페배너 mo,https://biocom.kr/supplementsmall,home,detail,banner,gift detail_mo,,https://biocom.kr/supplementsmall?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=gift%20detail_mo,
20231218,바이오컴,[바이오컴] 구매옵션 배너,https://biocom.kr/supplementsmall,home,detail,banner,gift option,,https://biocom.kr/supplementsmall?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=gift%20option,
20231218,더클린커피,[더클린커피] 연말감사제 카테고리배너 PC,https://thecleancoffee.com/shop_mypage/?m2=coupon_list,home,main,banner,my coupon_pc,,https://thecleancoffee.com/shop_mypage/?m2=coupon_list&utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=my%20coupon_pc,
20231218,더클린커피,[더클린커피] 연말감사제 카테고리배너 MO,https://thecleancoffee.com/shop_mypage/?m2=coupon_list,home,main,banner,my coupon_mo,,https://thecleancoffee.com/shop_mypage/?m2=coupon_list&utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=my%20coupon_mo,
20231218,더클린커피,[더클린커피] 연말감사제 상페배너 PC,https://thecleancoffee.com/thecleancoffee_store,home,detail,banner,my coupon_pc,,https://thecleancoffee.com/thecleancoffee_store?utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=my%20coupon_pc,
20231218,더클린커피,[더클린커피] 연말감사제 상페배너 MO,https://thecleancoffee.com/shop_mypage/?m2=coupon_list,home,detail,banner,my coupon_pc,,https://thecleancoffee.com/shop_mypage/?m2=coupon_list&utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=my%20coupon_pc,
20231219,바이오컴,[바이오컴] 레뷰 영양중금속검사 체험단 1차,https://biocom.kr/mineraltest_store/?idx=6,revu_mineral_exp,blog_mineral_exp,post_mineral_exp,mineral_exp,,https://biocom.kr/mineraltest_store/?idx=6&utm_source=revu_mineral_exp&utm_medium=blog_mineral_exp&utm_campaign=post_mineral_exp&utm_content=mineral_exp,
20231219,바이오컴,[바이오컴] 레뷰 음식물과민증검사 체험단,https://biocom.kr/igg_store/?idx=85,revu_igG,blog_igG,post_igG,igG_exp,,https://biocom.kr/igg_store/?idx=85&utm_source=revu_igg&utm_medium=blog_igg&utm_campaign=post_igG&utm_content=igG_exp,
20231219,더클린커피,[더클린커피] 레뷰 콜롬비아 원두 체험단,https://thecleancoffee.com/thecleancoffee_store/?idx=4,revu_colombia,blog_colombia,post_colombia,colombia_exp,,https://thecleancoffee.com/thecleancoffee_store/?idx=4&utm_source=revu_colombia&utm_medium=blog_colombia&utm_campaign=post_colombia&utm_content=colombia_exp,
20231221,바이오컴,[바이오컴] 레뷰 영양중금속검사 체험단 1차,https://biocom.kr/mineraltest_store/?idx=6,revu_toxic_exp,blog_toxi_exp,blog_toxic_exp,toxic_exp,,https://biocom.kr/mineraltest_store/?idx=6&utm_source=revu_toxic_exp&utm_medium=blog_toxi_exp&utm_campaign=blog_toxic_exp&utm_content=toxic_exp,
20231221,바이오컴,[바이오컴] 블프 우수포토리뷰 알리고링크,https://biocom.kr/shop_mypage/?m2=point_list,aligo,message,aligo,review_biocom,,https://biocom.kr/shop_mypage/?m2=point_list&utm_source=aligo&utm_medium=message&utm_campaign=aligo&utm_content=review_biocom,https://bit.ly/3v1VnO4
20231221,더클린커피,[더클린커피] 블프 우수포토리뷰 알리고링크,https://thecleancoffee.com/shop_mypage/?m2=point_list,aligo,message,aligo,review_coffee,,https://thecleancoffee.com/shop_mypage/?m2=point_list&utm_source=aligo&utm_medium=message&utm_campaign=aligo&utm_content=review_coffee,https://bit.ly/41zIcQU
20231222,더클린커피,[더클린커피] 7차 뉴스레터,https://thecleancoffee.com/thecleancoffee_store/?idx=24,stibee_7,email_7,newsletter_7,newsletter_7_stibee,,https://thecleancoffee.com/thecleancoffee_store/?idx=24&utm_source=stibee_7&utm_medium=email_7&utm_campaign=newsletter_7&utm_content=newsletter_7_stibee,
20231226,더클린커피,[더클린커피] 레뷰 에티오피아 예가체프 원두 체험단,https://thecleancoffee.com/shop_view/?idx=1,revu_ethiopia,blog_ethiopia_exp,post_ethiopia_exp,revu_ethiopia_exp,,https://thecleancoffee.com/shop_view/?idx=1&utm_source=revu_ethiopia&utm_medium=blog_ethiopia_exp&utm_campaign=post_ethiopia_exp&utm_content=revu_ethiopia_exp,
20231227,바이오컴,[바이오컴] 레뷰 풍성밸런스 체험단,https://biocom.kr/supplements/?idx=171,revu_pungsung,blog_pungsung_exp,post_pungsung_exp,revu_pungsung_exp,,https://biocom.kr/supplements/?idx=171&utm_source=revu_pungsung&utm_medium=blog_pungsung_exp&utm_campaign=post_pungsung_exp&utm_content=revu_pungsung_exp,
20231227,바이오컴,[바이오컴] 레뷰 셀렉트 음식물과민증검사,https://biocom.kr/igg_store/?idx=85,revu_select_igg,utube_igg_exp,utube_igg_exp,revu_select_utube_igg,,https://biocom.kr/igg_store/?idx=85&utm_source=revu_select_igg&utm_medium=utube_igg_exp&utm_campaign=utube_igg_exp&utm_content=revu_select_utube_igg,
20231229,바이오컴,[바이오컴] 하림공구 3검사 10% 할인,https://www.biocom.kr/,group_purchase_harim,group_purchase_harim,group_purchase_harim,group_purchase_harim,,https://www.biocom.kr/?utm_source=group_purchase_harim&utm_medium=group_purchase_harim&utm_campaign=group_purchase_harim&utm_content=group_purchase_harim,
20240102,바이오컴,[바이오컴] 신년감사제 문자 CRM,https://biocom.kr/supplementsmall,aligo_newyear_bio,message_newyear_bio,crm_newyear_bio,text_message_crm_newyear,,https://biocom.kr/supplementsmall?utm_source=aligo_newyear_bio&utm_medium=message_newyear_bio&utm_campaign=crm_newyear_bio&utm_content=text_message_crm_newyear,
20240104,더클린커피,[더클린커피] 신년 리마인드 CRM_1_드립백세트,https://thecleancoffee.com/shop_view/?idx=24,kakao_ny_remind_1,message_ny_remind_1,crm_new_year_remind_1,kakao_crm_ny_1,,https://thecleancoffee.com/shop_view/?idx=24&utm_source=kakao_ny_remind_1&utm_medium=message_ny_remind_1&utm_campaign=crm_new_year_remind_1&utm_content=kakao_crm_ny_1,
20240104,더클린커피,[더클린커피] 신년 리마인드 CRM_2_올해원두3종,https://thecleancoffee.com/thecleancoffee_store,kakao_ny_remind_2,message_ny_remind_2,crm_new_year_remind_2,kakao_crm_ny_2,,https://thecleancoffee.com/thecleancoffee_store?utm_source=kakao_ny_remind_2&utm_medium=message_ny_remind_2&utm_campaign=crm_new_year_remind_2&utm_content=kakao_crm_ny_2,
20240104,바이오컴,[바이오컴] 신년감사제 리마인드 CRM 1_메인,https://biocom.kr/supplementsmall,kakao_ny_remind_1_main,message_ny_remind,crm_new_year_remind_1,kakao_crm_ny_remind_1,,https://biocom.kr/supplementsmall?utm_source=kakao_ny_remind_1_main&utm_medium=message_ny_remind&utm_campaign=crm_new_year_remind_1&utm_content=kakao_crm_ny_remind_1,
20240104,바이오컴,[바이오컴] 신년감사제 리마인드 CRM 2_클린,https://biocom.kr/supplements/?idx=172,kakao_ny_remind_clean,message_ny_remind_clean,crm_new_year_remind_clean,kakao_crm_ny_remind_clean,,https://biocom.kr/supplements/?idx=172&utm_source=kakao_ny_remind_clean&utm_medium=message_ny_remind_clean&utm_campaign=crm_new_year_remind_clean&utm_content=kakao_crm_ny_remind_clean,
20240104,바이오컴,[바이오컴] 신년감사제 리마인드 CRM 3_풍성,https://biocom.kr/shop_view/?idx=191,kakao_ny_remind_pungsung,message_ny_remind_pungsung,crm_new_year_remind_pungsung,kakao_crm_ny_remind_pungsung,,https://biocom.kr/shop_view/?idx=191&utm_source=kakao_ny_remind_pungsung&utm_medium=message_ny_remind_pungsung&utm_campaign=crm_new_year_remind_pungsung&utm_content=kakao_crm_ny_remind_pungsung,
20240104,바이오컴,[바이오컴] 신년감사제 리마인드 CRM 4_뉴로,https://biocom.kr/supplements/?idx=198,kakao_ny_remind_neuro,message_ny_remind_neuro,crm_new_year_remind_neuro,kakao_crm_ny_remind_neuro,,https://biocom.kr/supplements/?idx=198&utm_source=kakao_ny_remind_neuro&utm_medium=message_ny_remind_neuro&utm_campaign=crm_new_year_remind_neuro&utm_content=kakao_crm_ny_remind_neuro,
20240105,바이오컴,[바이오컴]다이어트 주아 음식물과민증 공구 네이버게시글,https://biocom.kr/igg_store/?idx=85,naver_jooah_igg,cafe_jooah_igg,post_jooah_igg,jooah_igg,,https://biocom.kr/igg_store/?idx=85&utm_source=naver_jooah_igg&utm_medium=cafe_jooah_igg&utm_campaign=post_jooah_igg&utm_content=jooah_igg,
20240111,바이오컴,[바이오컴] 건기식 10% 쿠폰 지급완료  ,https://biocom.kr/shop_mypage/?m2=point_list,aligo,message,aligo,credit_biocom,,https://biocom.kr/shop_mypage/?m2=point_list&utm_source=aligo&utm_medium=message&utm_campaign=aligo&utm_content=credit_biocom,https://bit.ly/3O0QzPQ
20240112,바이오컴펫,[바이오컴펫] 펫케어 이벤트 CRM_메인,https://biocompet.kr/,kakao_petcare_main,message_petcare_main,crm_petcare_main,pet_care_main,,https://biocompet.kr/?utm_source=kakao_petcare_main&utm_medium=message_petcare_main&utm_campaign=crm_petcare_main&utm_content=pet_care_main,
20240112,바이오컴펫,[바이오컴펫] 펫케어 이벤트 CRM_펫영양검사,https://biocompet.kr/mineraltest/?idx=1,kakao_petcare_mineral,message_petcare_mineral,crm_petcare_mineral,pet_care_mineral,,https://biocompet.kr/mineraltest/?idx=1&utm_source=kakao_petcare_mineral&utm_medium=message_petcare_mineral&utm_campaign=crm_petcare_mineral&utm_content=pet_care_mineral,
20240112,바이오컴펫,[바이오컴펫] 펫케어 이벤트 CRM_퓨어마그프로,https://biocompet.kr/puremgpro/?idx=11,kakao_petcare_puremagpro,message_petcare_puremagpro,crm_petcare_puremagpro,pet_care_puremagpro,,https://biocompet.kr/puremgpro/?idx=11&utm_source=kakao_petcare_puremagpro&utm_medium=message_petcare_puremagpro&utm_campaign=crm_petcare_puremagpro&utm_content=pet_care_puremagpro,
20240112,바이오컴펫,[바이오컴펫] 펫케어 이벤트 CRM_펫푸드,https://biocompet.kr/thecleanpetfood/?idx=50,kakao_petcare_petfood,message_petcare_petfood,crm_petcare_petfood,pet_care_petfood,,https://biocompet.kr/thecleanpetfood/?idx=50&utm_source=kakao_petcare_petfood&utm_medium=message_petcare_petfood&utm_campaign=crm_petcare_petfood&utm_content=pet_care_petfood,
20240112,바이오컴펫,[바이오컴펫] 펫케어 이벤트 CRM_포토리뷰,https://biocompet.kr/,kakao_petcare_review,message_petcare_review,crm_petcare_review,pet_care_review,,https://biocompet.kr/?utm_source=kakao_petcare_review&utm_medium=message_petcare_review&utm_campaign=crm_petcare_review&utm_content=pet_care_review,
20240112,바이오컴펫,[바이오컴펫] 펫케어 이벤트 메인배너 PC,https://biocompet.kr/shop_mypage/?m2=coupon_list,home,main,banner,pet_main pc_bn,,https://biocompet.kr/shop_mypage/?m2=coupon_list&utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=pet_main%20pc_bn,
20240112,바이오컴펫,[바이오컴펫] 펫케어 이벤트 메인배너 MO,https://biocompet.kr/shop_mypage/?m2=coupon_list,home,main,banner,pet_main mo_bn,,https://biocompet.kr/shop_mypage/?m2=coupon_list&utm_source=home&utm_medium=main&utm_campaign=banner&utm_content=pet_main%20mo_bn,
20240112,바이오컴펫,[바이오컴펫] 펫케어 이벤트 상페배너 PC,https://biocompet.kr/shop_mypage/?m2=coupon_list,home,detail,banner,pet_detail 1,,https://biocompet.kr/shop_mypage/?m2=coupon_list&utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=pet_detail%201,
20240112,바이오컴펫,[바이오컴펫] 펫케어 이벤트 상페배너 MO,https://biocompet.kr/shop_mypage/?m2=coupon_list,home,detail,banner,pet_detail 2,,https://biocompet.kr/shop_mypage/?m2=coupon_list&utm_source=home&utm_medium=detail&utm_campaign=banner&utm_content=pet_detail%202,
20240117,바이오컴펫,[바이오컴펫]네이버 브랜드 검색광고 이벤트,https://biocompet.kr/,naver_brand_event,search_ad_event,naver_brand_ad_event,naver_pet_event,,https://biocompet.kr/?utm_source=naver_brand_event&utm_medium=search_ad_event&utm_campaign=naver_brand_ad_event&utm_content=naver_pet_event,
20240117,바이오컴펫,[바이오컴펫]네이버 브랜드 검색광고 메인,https://biocompet.kr/,naver_brand_main,search_ad_main,naver_brand_ad_main,naver_pet_main,,https://biocompet.kr/?utm_source=naver_brand_main&utm_medium=search_ad_main&utm_campaign=naver_brand_ad_main&utm_content=naver_pet_main,
20240117,바이오컴펫,[바이오컴펫]네이버 브랜드 검색광고 펫영양검사,https://biocompet.kr/mineraltest/?idx=1,naver_brand_mineral,search_ad_mineral,naver_brand_ad_mineral,naver_pet_mineral,,https://biocompet.kr/mineraltest/?idx=1&utm_source=naver_brand_mineral&utm_medium=search_ad_mineral&utm_campaign=naver_brand_ad_mineral&utm_content=naver_pet_mineral,
20240117,바이오컴펫,[바이오컴펫]네이버 브랜드 검색광고 퓨어마그프로,https://biocompet.kr/puremgpro/?idx=11,naver_brand_puremag,search_ad_puremag,naver_brand_ad_puremag,naver_pet_puremag,,https://biocompet.kr/puremgpro/?idx=11&utm_source=naver_brand_puremag&utm_medium=search_ad_puremag&utm_campaign=naver_brand_ad_puremag&utm_content=naver_pet_puremag,
20240117,바이오컴펫,[바이오컴펫]네이버 브랜드 검색광고 펫푸드,https://biocompet.kr/thecleanpetfood/?idx=50,naver_brand_petfood,search_ad_petfood,naver_brand_ad_petfood,naver_pet_petfood,,https://biocompet.kr/thecleanpetfood/?idx=50&utm_source=naver_brand_petfood&utm_medium=search_ad_petfood&utm_campaign=naver_brand_ad_petfood&utm_content=naver_pet_petfood,
20240117,바이오컴펫,[바이오컴펫]네이버 브랜드 검색광고 핏포즈,https://biocompet.kr/fitpaws,naver_brand_fitpaws,search_ad_fitpaws,naver_brand_ad_fitpaws,naver_pet_fitpaws,,https://biocompet.kr/fitpaws?utm_source=naver_brand_fitpaws&utm_medium=search_ad_fitpaws&utm_campaign=naver_brand_ad_fitpaws&utm_content=naver_pet_fitpaws,
20240117,바이오컴,[바이오컴] 네이버 브랜드 검색광고 PC 메인,https://biocom.kr/,naver_brand_biocom_PC_main,search_ad_biocom_pc_main,search_ad_biocom_pc_main,search_ad_biocom_pc_main,,https://biocom.kr/?utm_source=naver_brand_biocom_pc_main&utm_medium=search_ad_biocom_pc_main&utm_campaign=search_ad_biocom_pc_main&utm_content=search_ad_biocom_pc_main,
20240117,바이오컴,[바이오컴] 네이버 브랜드 검색광고 PC 영양중금속검사,https://biocom.kr/mineraltest_store/?idx=6,naver_brand_biocom_PC_mineral,search_ad_biocom_pc_mineral,search_ad_biocom_pc_mineral,search_ad_biocom_pc_mineral,,https://biocom.kr/mineraltest_store/?idx=6&utm_source=naver_brand_biocom_pc_mineral&utm_medium=search_ad_biocom_pc_mineral&utm_campaign=search_ad_biocom_pc_mineral&utm_content=search_ad_biocom_pc_mineral,
