run_at_kst,source_window,account_id,candidate_alias_key,candidate_in_utm_dictionary,candidate_landing_paths,candidate_example_url,match_grade,match_type,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,meta_status,meta_effective_status,currently_operating_status,last30_in_diagnostics,last30_spend,last30_att_revenue,last30_att_orders,last30_match_rate,meta_url_fields,meta_url_or_tags_sample,extracted_param_values,extracted_landing_paths,join_reason,growth_team_action
2026-05-23 12:36:22 KST,Meta API /ads read-only snapshot 2026-05-23 12:32 KST + diagnostics window 2026-04-23~2026-05-22 KST,act_3138805896402376,(generic_placeholder),N,,,D_placeholder_needs_review,Active Meta URL Parameters placeholder,120215102309650396,"[바이오컴] 건강기능식품 - 클린, 풍성, 바이오",120215102309680396,풍성밸런스,120215107621910396,풍성밸런스5_후기_잔머리부터나요,ACTIVE,ACTIVE,Y,Y,59186,0,0,90,url_tags,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYUFqC1jNeR/,meta;meta_biocom_광고별칭;paid_social;{{ad.id}};{{adset.id}};{{campaign.id}};{{placement}};{{site_source_name}},,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.
2026-05-23 12:36:22 KST,Meta API /ads read-only snapshot 2026-05-23 12:32 KST + diagnostics window 2026-04-23~2026-05-22 KST,act_3138805896402376,(generic_placeholder),N,,,D_placeholder_needs_review,Active Meta URL Parameters placeholder,120235591897270396,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),120235591897230396,음식물과민증검사_관심타겟_어드밴티지+,120245494743430396,meta_biocom_igg_amondstory_260514,ACTIVE,ACTIVE,Y,Y,328988,245000,1,100,url_tags,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYTaEHEDCPW/,meta;meta_biocom_광고별칭;paid_social;{{ad.id}};{{adset.id}};{{campaign.id}};{{placement}};{{site_source_name}},,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.
2026-05-23 12:36:22 KST,Meta API /ads read-only snapshot 2026-05-23 12:32 KST + diagnostics window 2026-04-23~2026-05-22 KST,act_3138805896402376,(generic_placeholder),N,,,D_placeholder_needs_review,Active Meta URL Parameters placeholder,120235591897270396,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),120235591897230396,음식물과민증검사_관심타겟_어드밴티지+,120245490434130396,meta_biocom_igg_milkstory_260514,ACTIVE,ACTIVE,Y,Y,169374,484500,1,100,url_tags,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYTMvPsDF_7/,meta;meta_biocom_광고별칭;paid_social;{{ad.id}};{{adset.id}};{{campaign.id}};{{placement}};{{site_source_name}},,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.
2026-05-23 12:36:22 KST,Meta API /ads read-only snapshot 2026-05-23 12:32 KST + diagnostics window 2026-04-23~2026-05-22 KST,act_3138805896402376,(generic_placeholder),N,,,D_placeholder_needs_review,Active Meta URL Parameters placeholder,120235591897270396,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),120235591897230396,음식물과민증검사_관심타겟_어드밴티지+,120245328561040396,meta_biocom_igg_skin2_reel1_260507 - 사본,ACTIVE,ACTIVE,Y,Y,71448,0,0,90,url_tags,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYCAAwwjDcU/,meta;meta_biocom_광고별칭;paid_social;{{ad.id}};{{adset.id}};{{campaign.id}};{{placement}};{{site_source_name}},,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.
2026-05-23 12:36:22 KST,Meta API /ads read-only snapshot 2026-05-23 12:32 KST + diagnostics window 2026-04-23~2026-05-22 KST,act_3138805896402376,(generic_placeholder),N,,,D_placeholder_needs_review,Active Meta URL Parameters placeholder,120235591897270396,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),120235591897230396,음식물과민증검사_관심타겟_어드밴티지+,120245391104050396,meta_biocom_igg_yeonddle_reel_honeymoon_260512,ACTIVE,ACTIVE,Y,Y,699112,245000,1,100,url_tags,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYOog5AjLd4/,meta;meta_biocom_광고별칭;paid_social;{{ad.id}};{{adset.id}};{{campaign.id}};{{placement}};{{site_source_name}},,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.
2026-05-23 12:36:22 KST,Meta API /ads read-only snapshot 2026-05-23 12:32 KST + diagnostics window 2026-04-23~2026-05-22 KST,act_3138805896402376,(generic_placeholder),N,,,D_placeholder_needs_review,Active Meta URL Parameters placeholder,120237452088280396,[바이오컴] 종합대사기능검사 전환캠페인(11/4~) - 사본,120237452088100396,종합대사기능검사 - 사본,120246030656680396,260522_종대사 지방산대사,ACTIVE,ACTIVE,Y,Y,113202,0,0,90,url_tags,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYn_BVODP7a/,meta;meta_biocom_광고별칭;paid_social;{{ad.id}};{{adset.id}};{{campaign.id}};{{placement}};{{site_source_name}},,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.
2026-05-23 12:36:22 KST,Meta API /ads read-only snapshot 2026-05-23 12:32 KST + diagnostics window 2026-04-23~2026-05-22 KST,act_3138805896402376,(generic_placeholder),N,,,D_placeholder_needs_review,Active Meta URL Parameters placeholder,120237452088280396,[바이오컴] 종합대사기능검사 전환캠페인(11/4~) - 사본,120237452088100396,종합대사기능검사 - 사본,120245328867460396,meta_biocom_acid_dietreel1_250507 - 사본,ACTIVE,ACTIVE,Y,Y,693139,0,0,90,url_tags,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYCHHX_jEt7/,meta;meta_biocom_광고별칭;paid_social;{{ad.id}};{{adset.id}};{{campaign.id}};{{placement}};{{site_source_name}},,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.
2026-05-23 12:36:22 KST,Meta API /ads read-only snapshot 2026-05-23 12:32 KST + diagnostics window 2026-04-23~2026-05-22 KST,act_3138805896402376,(generic_placeholder),N,,,D_placeholder_needs_review,Active Meta URL Parameters placeholder,120231749833120396,[바이오컴] 호르몬 검사 바이럴 소재 캠페인_0811,120231749833100396,종합호르몬분석_바이럴소재_0811,120245002839480396,[가정의달 프로모션] 종호균 프로모션 x 백수정님,ACTIVE,ACTIVE,Y,Y,1366709,0,0,90,url_tags,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYg4sz2DOVk/,meta;meta_biocom_광고별칭;paid_social;{{ad.id}};{{adset.id}};{{campaign.id}};{{placement}};{{site_source_name}},,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.
2026-05-23 12:36:22 KST,Meta API /ads read-only snapshot 2026-05-23 12:32 KST + diagnostics window 2026-04-23~2026-05-22 KST,act_3138805896402376,(generic_placeholder),N,,,D_placeholder_needs_review,Active Meta URL Parameters placeholder,120244876670640396,meta_biocom_acid_260504,120245070390500396,meta_biocom_acid_dietreel_250507,120245070390490396,meta_biocom_acid_dietreel1_250507,ACTIVE,ACTIVE,Y,Y,340600,590680,2,100,url_tags,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYCHHX_jEt7/,meta;meta_biocom_광고별칭;paid_social;{{ad.id}};{{adset.id}};{{campaign.id}};{{placement}};{{site_source_name}},,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.
2026-05-23 12:36:22 KST,Meta API /ads read-only snapshot 2026-05-23 12:32 KST + diagnostics window 2026-04-23~2026-05-22 KST,act_3138805896402376,(generic_placeholder),N,,,D_placeholder_needs_review,Active Meta URL Parameters placeholder,120244876670640396,meta_biocom_acid_260504,120246030789580396,meta_biocom_acid_fatacidstory_260522,120246030789570396,meta_biocom_acid_fatacidstory_260522,ACTIVE,ACTIVE,Y,Y,13286,0,0,90,url_tags,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYn_S2IDH5b/,meta;meta_biocom_광고별칭;paid_social;{{ad.id}};{{adset.id}};{{campaign.id}};{{placement}};{{site_source_name}},,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.
