report_date,campaign_id,campaign_name,currency,spend,net_cost,impressions,destination_clicks,clicks,conversions,purchase_count,purchase_value,cta_purchase_count,evta_purchase_count,vta_purchase_count,cta_purchase_value,evta_purchase_value,vta_purchase_value,platform_roas,cta_purchase_roas,evta_purchase_roas,vta_purchase_roas,source_file,attribution_window_note
2026-04-25,1854347729644690,음과검 스마트+ 캠페인,KRW,318212,318212,118707,349,349,1,1,260000,0,0,0,0,0,0,0.8170653526579764,0.82,0,0,api/20260425_20260425_daily_campaign.csv,TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; CTA/VTA counts use cta_conversion/vta_conversion fallback when purchase split metrics are empty.
2026-04-25,1854918885396689,종합대사기능 분석 스마트+캠페인,KRW,199582,199582,109789,195,195,2,2,2180000,0,0,2,0,0,0,10.922828712008098,10.92,0,0,api/20260425_20260425_daily_campaign.csv,TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; CTA/VTA counts use cta_conversion/vta_conversion fallback when purchase split metrics are empty.
2026-04-25,1856156648605858,영양중금속분석 스마트+ 캠페인,KRW,74653,74653,35204,2940,2940,1,1,471200,0,0,0,0,0,0,6.311869583271938,6.31,0,0,api/20260425_20260425_daily_campaign.csv,TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; CTA/VTA counts use cta_conversion/vta_conversion fallback when purchase split metrics are empty.
2026-04-25,1856728035726529,호르몬 검사 캠페인,KRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,api/20260425_20260425_daily_campaign.csv,TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; CTA/VTA counts use cta_conversion/vta_conversion fallback when purchase split metrics are empty.
2026-04-25,1858788275666081,건강기능식품 스마트+캠페인,KRW,80532,80532,28981,2797,2797,1,1,107000,1,0,0,0,0,0,1.3286643818606267,1.33,0,0,api/20260425_20260425_daily_campaign.csv,TikTok Business API report/integrated/get. Attribution window assumed TikTok default click 7d / view 1d unless Ads Manager says otherwise. API does not expose website CTA/VTA purchase value here; CTA/VTA counts use cta_conversion/vta_conversion fallback when purchase split metrics are empty.
