date_start,date_stop,campaign_id,campaign_name,campaign_status,campaign_objective,adset_id,adset_name,adset_status,optimization_goal,billing_event,promoted_object,ad_id,ad_name,ad_status,ad_effective_status,spend,impressions,reach,frequency,clicks,inline_link_clicks,ctr,cpc,cpm,landing_page_views,meta_leads,lead_action_types,view_content_add_meta_leads,cost_per_meta_lead,destination_url,destination_host,destination_path,destination_field,url_extract_status,utm_source,utm_medium,utm_campaign,utm_content,utm_term,nt_source,nt_medium,nt_keyword,fbclid,creative_url_tags,effective_object_story_id,story_fetch_status,story_fetch_error
2026-04-11,2026-04-17,120240475481810036,26.01.16 리커버리랩 예약 캠페인,ACTIVE,OUTCOME_TRAFFIC,120240475481820036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,LANDING_PAGE_VIEWS,IMPRESSIONS,{},120240475481830036,260116_연뜰스토리_리커버리랩,ACTIVE,ACTIVE,250450,92788,82549,1.124035,3631,3562,3.913222,68.975489,2699.163685,3283,0,,0,0,,,,,needs_pages_read_engagement,,,,,,,,,,,457012704159444_122190570032574372,blocked,(#10) This endpoint requires the 'pages_read_engagement' permission or the 'Page Public Content Access' feature. Refer to https://developers.facebook.com/docs/apps/review/login-permissions#manage-pages and https://developers.facebook.com/docs/apps/review/feature#reference-PAGES_ACCESS for details.
2026-04-11,2026-04-17,120240475481810036,26.01.16 리커버리랩 예약 캠페인,ACTIVE,OUTCOME_TRAFFIC,120240475481820036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,LANDING_PAGE_VIEWS,IMPRESSIONS,{},120243736090550036,260116_연뜰스토리_리커버리랩 - 플레이스랜딩,ACTIVE,ACTIVE,68095,24606,23567,1.044087,1114,1085,4.527351,61.126571,2767.414452,986,0,,0,0,,,,,needs_pages_read_engagement,,,,,,,,,,,457012704159444_122200349192574372,blocked,(#10) This endpoint requires the 'pages_read_engagement' permission or the 'Page Public Content Access' feature. Refer to https://developers.facebook.com/docs/apps/review/login-permissions#manage-pages and https://developers.facebook.com/docs/apps/review/feature#reference-PAGES_ACCESS for details.
2026-04-11,2026-04-17,120243904162820036,리드 캠페인 (소재복사 0406_2352),ACTIVE,OUTCOME_LEADS,120243904163210036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,OFFSITE_CONVERSIONS,IMPRESSIONS,"{""custom_event_type"": ""LEAD"", ""pixel_id"": ""1068377347547682"", ""smart_pse_enabled"": false}",120243904164040036,260116_연뜰스토리_리커버리랩 자사몰 랜딩,ACTIVE,ACTIVE,225516,6233,4946,1.26021,292,224,4.684743,772.315068,36180.972245,124,0,,121,0,,,,,needs_pages_read_engagement,,,,,,,,,,,457012704159444_122200543370574372,blocked,(#10) This endpoint requires the 'pages_read_engagement' permission or the 'Page Public Content Access' feature. Refer to https://developers.facebook.com/docs/apps/review/login-permissions#manage-pages and https://developers.facebook.com/docs/apps/review/feature#reference-PAGES_ACCESS for details.
2026-04-11,2026-04-17,120243904162820036,리드 캠페인 (소재복사 0406_2352),ACTIVE,OUTCOME_LEADS,120243904163210036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,OFFSITE_CONVERSIONS,IMPRESSIONS,"{""custom_event_type"": ""LEAD"", ""pixel_id"": ""1068377347547682"", ""smart_pse_enabled"": false}",120243904165990036,260401_리커버리랩 이벤트1,ACTIVE,ACTIVE,23023,456,302,1.509934,68,82,14.912281,338.573529,50489.035088,58,0,,46,0,https://aibio.ai/shop_view?idx=25&utm_source=meta_recoverylab_allcareevent_aibioshop&utm_medium=meta_recoverylab_allcareevent_aibioshop&utm_campaign=meta_recoverylab_allcareevent_aibioshop&utm_content=meta_recoverylab_allcareevent_aibioshop,aibio.ai,/shop_view,asset_feed_spec.link_urls[0].website_url,ok,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,,,,,,,110337454469232_1244469567772954,,
2026-04-11,2026-04-17,120243904162820036,리드 캠페인 (소재복사 0406_2352),ACTIVE,OUTCOME_LEADS,120243904163210036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,OFFSITE_CONVERSIONS,IMPRESSIONS,"{""custom_event_type"": ""LEAD"", ""pixel_id"": ""1068377347547682"", ""smart_pse_enabled"": false}",120243904166990036,260401_리커버리랩 이벤트2,ACTIVE,ACTIVE,168573,3381,1905,1.774803,360,396,10.647737,468.258333,49858.91748,296,1,"lead,onsite_web_lead,offsite_conversion.fb_pixel_lead",299,168573.0,https://aibio.ai/shop_view?idx=25&utm_source=meta_recoverylab_allcareevent_aibioshop&utm_medium=meta_recoverylab_allcareevent_aibioshop&utm_campaign=meta_recoverylab_allcareevent_aibioshop&utm_content=meta_recoverylab_allcareevent_aibioshop,aibio.ai,/shop_view,asset_feed_spec.link_urls[0].website_url,ok,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,,,,,,,110337454469232_1244471031106141,,
