"보고 시작","보고 종료","광고 이름","광고 게재","지출 금액 (KRW)","광고 세트 예산","광고 세트 예산 유형",노출,"CPM(1,000회 노출당 비용) (KRW)",도달,빈도,CTR(전체),"링크 클릭","CPC(전체) (KRW)","구매 ROAS(광고 지출 대비 수익률)","기여 설정",결과,"결과 표시 도구","결과당 비용","캠페인 이름","캠페인 ID","광고 세트 ID","광고 ID","광고 세트 게재"
2026-03-17,2026-04-15,"260116_연뜰스토리_리커버리랩 자사몰 랜딩",active,312968,"캠페인 예산 사용",0,9603,32590.648756,7301,1.315299,4.738103,335,687.841758,,"클릭 후 7일",,,,"리드 캠페인 (소재복사 0406_2352)",120243904162820036,120243904163210036,120243904164040036,active
2026-03-17,2026-04-15,"260116_연뜰스토리_리커버리랩 - 플레이스랜딩",inactive,0,"캠페인 예산 사용",0,0,0,0,0,0,,0,,"클릭 후 7일",,,,"리드 캠페인 (소재복사 0406_2352)",120243904162820036,120243904163210036,120243904164820036,active
2026-03-17,2026-04-15,"260401_리커버리랩 이벤트1",active,29107,"캠페인 예산 사용",0,446,65262.331839,334,1.335329,11.659193,53,559.75,,"클릭 후 7일",,,,"리드 캠페인 (소재복사 0406_2352)",120243904162820036,120243904163210036,120243904165990036,active
2026-03-17,2026-04-15,"260401_리커버리랩 이벤트2",active,217668,"캠페인 예산 사용",0,3778,57614.610905,2106,1.793922,7.305453,268,788.652174,,"클릭 후 7일",,,,"리드 캠페인 (소재복사 0406_2352)",120243904162820036,120243904163210036,120243904166990036,active
2026-03-17,2026-04-15,260116_연뜰스토리_리커버리랩,inactive,0,"캠페인 예산 사용",0,0,0,0,0,0,,0,,"클릭 후 7일",,,,"리드 캠페인 (소재복사 0406_2352)",120243904162820036,120243904163210036,120243904167560036,active
